  ... #283570 @ 44524.650 ms: miss_ratio = 0.18398, load_admit = 0.870, cache_tp = 13661.899, core_tp = 1335.795
  ... #293190 @ 45024.792 ms: miss_ratio = 0.18450, load_admit = 0.870, cache_tp = 5446.457, core_tp = 943.733
  ... #302900 @ 45525.182 ms: miss_ratio = 0.18496, load_admit = 0.860, cache_tp = 6163.185, core_tp = 1023.201
  ... #312570 @ 46025.467 ms: miss_ratio = 0.18267, load_admit = 0.850, cache_tp = 20940.080, core_tp = 1391.208
  ... #322280 @ 46525.655 ms: miss_ratio = 0.18054, load_admit = 0.800, cache_tp = 20688.231, core_tp = 1191.553
  ... #332080 @ 47026.089 ms: miss_ratio = 0.18166, load_admit = 0.810, cache_tp = 5283.417, core_tp = 1294.877
  ... #342250 @ 47526.098 ms: miss_ratio = 0.18200, load_admit = 0.780, cache_tp = 10063.809, core_tp = 1359.974
  ... #352330 @ 48026.124 ms: miss_ratio = 0.18297, load_admit = 0.840, cache_tp = 6031.684, core_tp = 1199.937
  ... #362400 @ 48526.570 ms: miss_ratio = 0.18432, load_admit = 0.840, cache_tp = 3836.582, core_tp = 1318.825
  ... #372710 @ 49027.063 ms: miss_ratio = 0.18618, load_admit = 0.820, cache_tp = 551.456, core_tp = 1182.833
  ... #382680 @ 49527.397 ms: miss_ratio = 0.18609, load_admit = 0.800, cache_tp = 9145.899, core_tp = 1239.173
  ... #392710 @ 50027.837 ms: miss_ratio = 0.18736, load_admit = 0.810, cache_tp = 3876.587, core_tp = 1127.008
  ... #402880 @ 50527.848 ms: miss_ratio = 0.18782, load_admit = 0.760, cache_tp = 8431.804, core_tp = 1303.970
  ... #412980 @ 51028.201 ms: miss_ratio = 0.18921, load_admit = 0.730, cache_tp = 3725.375, core_tp = 1199.155
  ... #422880 @ 51528.381 ms: miss_ratio = 0.19002, load_admit = 0.710, cache_tp = 6221.763, core_tp = 0.000
  ... #433040 @ 52028.579 ms: miss_ratio = 0.19004, load_admit = 0.680, cache_tp = 10923.667, core_tp = 2199.128
  ... #443350 @ 52529.002 ms: miss_ratio = 0.19098, load_admit = 0.630, cache_tp = 7137.955, core_tp = 503.574
  ... #453650 @ 53029.156 ms: miss_ratio = 0.19213, load_admit = 0.620, cache_tp = 7653.642, core_tp = 3143.032
  ... #463790 @ 53529.358 ms: miss_ratio = 0.19330, load_admit = 0.630, cache_tp = 6461.389, core_tp = 1575.363
  ... #473980 @ 54029.844 ms: miss_ratio = 0.19221, load_admit = 0.630, cache_tp = 17494.999, core_tp = 1510.532
  ... #484060 @ 54530.165 ms: miss_ratio = 0.19269, load_admit = 0.570, cache_tp = 10705.131, core_tp = 1479.051
  ... #494050 @ 55030.642 ms: miss_ratio = 0.19175, load_admit = 0.580, cache_tp = 21083.892, core_tp = 2022.071
  ... #503980 @ 55530.898 ms: miss_ratio = 0.19262, load_admit = 0.540, cache_tp = 7843.982, core_tp = 1663.148
  ... #514240 @ 56031.327 ms: miss_ratio = 0.19390, load_admit = 0.510, cache_tp = 5659.143, core_tp = 1502.710
  ... #524520 @ 56531.805 ms: miss_ratio = 0.19586, load_admit = 0.490, cache_tp = 1374.687, core_tp = 1542.526
  ... #534510 @ 57031.830 ms: miss_ratio = 0.19684, load_admit = 0.480, cache_tp = 5119.739, core_tp = 1407.928
  ... #544590 @ 57531.900 ms: miss_ratio = 0.19787, load_admit = 0.410, cache_tp = 6151.144, core_tp = 1591.778
  ... #554880 @ 58032.365 ms: miss_ratio = 0.19910, load_admit = 0.410, cache_tp = 3516.732, core_tp = 1358.737
  ... #564980 @ 58532.442 ms: miss_ratio = 0.20034, load_admit = 0.430, cache_tp = 4567.289, core_tp = 1511.765
  ... #575260 @ 59032.916 ms: miss_ratio = 0.20049, load_admit = 0.450, cache_tp = 11413.198, core_tp = 1646.442
  ... #585350 @ 59533.259 ms: miss_ratio = 0.20207, load_admit = 0.460, cache_tp = 5516.216, core_tp = 1894.700

Wait for extra secs... (60 - 75 secs)

  ~~~ #594540 @ 60033.427 ms: miss_ratio = 0.20334, load_admit = 0.470, cache_tp = 3174.933, core_tp = 1431.519
  ~~~ #594540 @ 60533.834 ms: miss_ratio = 0.20054, load_admit = 0.420, cache_tp = 16738.358, core_tp = 223.818
