  ~~~ #323850 @ 61057.756 ms: miss_ratio = 0.24316, load_admit = 0.210, cache_tp = 5033.939, core_tp = 11178.540
  ~~~ #323850 @ 61558.420 ms: miss_ratio = 0.24247, load_admit = 0.190, cache_tp = 11712.463, core_tp = 27163.967
  ~~~ #323850 @ 62059.054 ms: miss_ratio = 0.24189, load_admit = 0.180, cache_tp = 9731.659, core_tp = 27916.597
  ~~~ #323850 @ 62559.631 ms: miss_ratio = 0.24155, load_admit = 0.190, cache_tp = 5697.427, core_tp = 27304.502
  ~~~ #323850 @ 63060.421 ms: miss_ratio = 0.24155, load_admit = 0.210, cache_tp = 0.000, core_tp = 0.000
  ~~~ #323850 @ 63560.979 ms: miss_ratio = 0.24128, load_admit = 0.170, cache_tp = 4642.822, core_tp = 26993.893
  ~~~ #323850 @ 64061.511 ms: miss_ratio = 0.24093, load_admit = 0.150, cache_tp = 3564.208, core_tp = 28649.523
  ~~~ #323850 @ 64562.249 ms: miss_ratio = 0.24079, load_admit = 0.140, cache_tp = 4944.696, core_tp = 10049.157
  ~~~ #323850 @ 65062.941 ms: miss_ratio = 0.24038, load_admit = 0.120, cache_tp = 5049.011, core_tp = 12095.257
  ~~~ #323850 @ 65563.578 ms: miss_ratio = 0.24038, load_admit = 0.100, cache_tp = 1749.773, core_tp = 0.000
  ~~~ #323850 @ 66063.996 ms: miss_ratio = 0.24007, load_admit = 0.100, cache_tp = 5451.433, core_tp = 24315.627
  ~~~ #323850 @ 66564.387 ms: miss_ratio = 0.23945, load_admit = 0.110, cache_tp = 10703.636, core_tp = 25004.461
  ~~~ #323850 @ 67064.804 ms: miss_ratio = 0.23945, load_admit = 0.100, cache_tp = 0.000, core_tp = 0.000
  ~~~ #323850 @ 67564.879 ms: miss_ratio = 0.23919, load_admit = 0.080, cache_tp = 4519.319, core_tp = 26204.054
  ~~~ #323850 @ 68065.195 ms: miss_ratio = 0.23894, load_admit = 0.080, cache_tp = 4101.406, core_tp = 9378.069
  ~~~ #323850 @ 68565.975 ms: miss_ratio = 0.23891, load_admit = 0.020, cache_tp = 591.078, core_tp = 14665.113
  ~~~ #323850 @ 69066.418 ms: miss_ratio = 0.23869, load_admit = 0.050, cache_tp = 4084.388, core_tp = 27919.312
  ~~~ #323850 @ 69566.430 ms: miss_ratio = 0.23868, load_admit = 0.070, cache_tp = 287.993, core_tp = 7639.817
  ~~~ #323850 @ 70066.662 ms: miss_ratio = 0.23813, load_admit = 0.020, cache_tp = 9403.621, core_tp = 26875.485
  ~~~ #323850 @ 70566.862 ms: miss_ratio = 0.23776, load_admit = 0.040, cache_tp = 7005.208, core_tp = 27636.986
  ~~~ #323850 @ 71067.504 ms: miss_ratio = 0.23732, load_admit = 0.040, cache_tp = 7710.089, core_tp = 12831.505
  ~~~ #323850 @ 71567.835 ms: miss_ratio = 0.23717, load_admit = 0.020, cache_tp = 2662.239, core_tp = 9042.019
  ~~~ #323850 @ 72068.669 ms: miss_ratio = 0.23698, load_admit = 0.080, cache_tp = 3298.500, core_tp = 24399.319
  ~~~ #323850 @ 72569.336 ms: miss_ratio = 0.23698, load_admit = 0.070, cache_tp = 23.968, core_tp = 95.872
  ~~~ #323850 @ 73069.480 ms: miss_ratio = 0.23677, load_admit = 0.060, cache_tp = 3654.948, core_tp = 28927.673
  ~~~ #323850 @ 73569.577 ms: miss_ratio = 0.23636, load_admit = 0.070, cache_tp = 7478.544, core_tp = 27418.662
  ~~~ #323850 @ 74070.264 ms: miss_ratio = 0.23632, load_admit = 0.090, cache_tp = 918.738, core_tp = 30102.652
  ~~~ #323850 @ 74570.778 ms: miss_ratio = 0.23609, load_admit = 0.030, cache_tp = 4243.640, core_tp = 28570.645

Statistics:

   usage | cache |  occupied       7889 pages     96.30 %
         |       |      free        303 pages      3.69 %
         |       |     clean       7889 pages    100.00 %
         |       |     dirty          0 pages      0.00 %

  blocks | cache |   read ->     159319 pages     86.96 %
         |       |  write <-      23874 pages     13.03 %
         |       |     total     183193 pages    100.00 %
         |  core |   read ->     297644 pages     93.29 %
         |       |  write <-      21394 pages      6.70 %
         |       |     total     319038 pages    100.00 %
         |     total             478357 pages    100.00 %

    reqs |  read |     hit $     340168 reqs      71.11 %
         |       | part miss          0 reqs       0.00 %
         |       | full miss     105127 reqs      21.97 %
         |       |     total     445295 reqs      93.08 %
         | write |     hit $      15967 reqs       3.33 %
         |       | part miss          0 reqs       0.00 %
         |       | full miss       5392 reqs       1.12 %
         |       |     total      21359 reqs       4.46 %
         |  pass |   read ->      11668 reqs       2.43 %
         |       |  write <-         35 reqs       0.00 %
         |     total             478357 reqs     100.00 %

  errors | cache |   read ->          0 errors     0.00 %
         |       |  write <-          0 errors     0.00 %
         |  core |   read ->          0 errors     0.00 %
         |       |  write <-          0 errors     0.00 %
         |     total                  0 errors     0.00 %
