  ... #259400 @ 44530.271 ms: miss_ratio = 0.86744, load_admit = 0.260, cache_tp = 143.844, core_tp = 28752.914
  ... #268080 @ 45030.408 ms: miss_ratio = 0.86654, load_admit = 0.250, cache_tp = 0.000, core_tp = 0.000
  ... #277280 @ 45530.902 ms: miss_ratio = 0.86540, load_admit = 0.240, cache_tp = 15.984, core_tp = 21514.749
  ... #286480 @ 46031.243 ms: miss_ratio = 0.86452, load_admit = 0.250, cache_tp = 87.940, core_tp = 2222.487
  ... #295270 @ 46531.663 ms: miss_ratio = 0.86387, load_admit = 0.210, cache_tp = 103.913, core_tp = 10790.924
  ... #304510 @ 47032.143 ms: miss_ratio = 0.86291, load_admit = 0.240, cache_tp = 15.985, core_tp = 31401.855
  ... #313750 @ 47532.157 ms: miss_ratio = 0.86192, load_admit = 0.220, cache_tp = 111.997, core_tp = 30879.173
  ... #322640 @ 48032.610 ms: miss_ratio = 0.86083, load_admit = 0.200, cache_tp = 1055.044, core_tp = 6849.791
  ... #331710 @ 48532.770 ms: miss_ratio = 0.85972, load_admit = 0.130, cache_tp = 735.765, core_tp = 18194.183
  ... #340830 @ 49032.986 ms: miss_ratio = 0.85867, load_admit = 0.150, cache_tp = 55.976, core_tp = 8436.354
  ... #350080 @ 49533.260 ms: miss_ratio = 0.85759, load_admit = 0.130, cache_tp = 23.987, core_tp = 17998.116
  ... #358900 @ 50033.307 ms: miss_ratio = 0.85674, load_admit = 0.140, cache_tp = 167.984, core_tp = 8215.228
  ... #367930 @ 50533.500 ms: miss_ratio = 0.85586, load_admit = 0.120, cache_tp = 55.978, core_tp = 18296.960
  ... #377200 @ 51033.890 ms: miss_ratio = 0.85486, load_admit = 0.190, cache_tp = 87.931, core_tp = 31311.587
  ... #386380 @ 51533.899 ms: miss_ratio = 0.85412, load_admit = 0.180, cache_tp = 159.997, core_tp = 30863.433
  ... #395650 @ 52034.169 ms: miss_ratio = 0.85334, load_admit = 0.160, cache_tp = 191.896, core_tp = 31534.985
  ... #404920 @ 52534.687 ms: miss_ratio = 0.85253, load_admit = 0.190, cache_tp = 327.660, core_tp = 30991.845
  ... #414110 @ 53034.937 ms: miss_ratio = 0.85181, load_admit = 0.180, cache_tp = 367.817, core_tp = 11978.029
