
Progress:

  ... #231231 @ 56513.876 ms: miss_ratio = 0.00266, load_admit = 1.000, cache_tp = 8596.647, core_tp = 0.000
  ... #233294 @ 57013.880 ms: miss_ratio = 0.00263, load_admit = 1.000, cache_tp = 8463.932, core_tp = 0.000
  ... #235347 @ 57513.963 ms: miss_ratio = 0.00261, load_admit = 1.000, cache_tp = 8470.594, core_tp = 0.000
  ... #237416 @ 58014.023 ms: miss_ratio = 0.00259, load_admit = 1.000, cache_tp = 8518.978, core_tp = 0.000
  ... #239479 @ 58514.232 ms: miss_ratio = 0.00256, load_admit = 1.000, cache_tp = 8516.440, core_tp = 0.000
  ... #241535 @ 59014.391 ms: miss_ratio = 0.00254, load_admit = 1.000, cache_tp = 8469.307, core_tp = 0.000
  ... #243602 @ 59514.623 ms: miss_ratio = 0.00252, load_admit = 1.000, cache_tp = 8476.067, core_tp = 0.000
  ... #245658 @ 60014.646 ms: miss_ratio = 0.00250, load_admit = 1.000, cache_tp = 8423.613, core_tp = 0.000
  ... #247724 @ 60514.783 ms: miss_ratio = 0.00248, load_admit = 1.000, cache_tp = 8485.675, core_tp = 0.000
  ... #249802 @ 61014.873 ms: miss_ratio = 0.00246, load_admit = 1.000, cache_tp = 8542.462, core_tp = 0.000
  ... #251858 @ 61514.960 ms: miss_ratio = 0.00244, load_admit = 1.000, cache_tp = 8478.525, core_tp = 0.000
  ... #253908 @ 62014.983 ms: miss_ratio = 0.00242, load_admit = 1.000, cache_tp = 8455.611, core_tp = 0.000
  ... #255973 @ 62514.992 ms: miss_ratio = 0.00240, load_admit = 1.000, cache_tp = 8471.848, core_tp = 0.000
  ... #258040 @ 63015.129 ms: miss_ratio = 0.00238, load_admit = 1.000, cache_tp = 8525.664, core_tp = 0.000
  ... #260129 @ 63515.187 ms: miss_ratio = 0.00236, load_admit = 1.000, cache_tp = 8623.000, core_tp = 0.000
  ... #262282 @ 64015.198 ms: miss_ratio = 0.00234, load_admit = 1.000, cache_tp = 9071.800, core_tp = 0.000
  ... #264342 @ 64515.244 ms: miss_ratio = 0.00232, load_admit = 1.000, cache_tp = 8471.221, core_tp = 0.000
  ... #266418 @ 65015.275 ms: miss_ratio = 0.00230, load_admit = 1.000, cache_tp = 8575.468, core_tp = 0.000
  ... #268488 @ 65515.361 ms: miss_ratio = 0.00229, load_admit = 1.000, cache_tp = 8526.533, core_tp = 0.000
  ... #270565 @ 66015.466 ms: miss_ratio = 0.00227, load_admit = 1.000, cache_tp = 8526.209, core_tp = 0.000
  ... #272638 @ 66515.580 ms: miss_ratio = 0.00225, load_admit = 1.000, cache_tp = 8494.063, core_tp = 0.000
