
Progress:

  ... #136031 @ 57022.169 ms: miss_ratio = 0.00451, load_admit = 0.620, cache_tp = 5915.953, core_tp = 3653.501
  ... #137219 @ 57522.320 ms: miss_ratio = 0.00447, load_admit = 0.610, cache_tp = 6126.150, core_tp = 3374.981
  ... #138415 @ 58022.729 ms: miss_ratio = 0.00444, load_admit = 0.610, cache_tp = 5987.103, core_tp = 3565.084
  ... #139610 @ 58523.146 ms: miss_ratio = 0.00440, load_admit = 0.600, cache_tp = 5803.160, core_tp = 3756.867
  ... #140798 @ 59023.481 ms: miss_ratio = 0.00436, load_admit = 0.620, cache_tp = 5844.084, core_tp = 3653.552
  ... #141991 @ 59523.932 ms: miss_ratio = 0.00432, load_admit = 0.590, cache_tp = 5786.780, core_tp = 3748.619
  ... #143170 @ 60023.991 ms: miss_ratio = 0.00429, load_admit = 0.610, cache_tp = 5551.345, core_tp = 3879.542
  ... #144391 @ 60524.192 ms: miss_ratio = 0.00425, load_admit = 0.620, cache_tp = 5845.650, core_tp = 3902.431
  ... #145590 @ 61024.593 ms: miss_ratio = 0.00422, load_admit = 0.620, cache_tp = 5851.307, core_tp = 3748.993
  ... #146785 @ 61524.658 ms: miss_ratio = 0.00418, load_admit = 0.610, cache_tp = 5983.222, core_tp = 3567.536
  ... #147972 @ 62024.674 ms: miss_ratio = 0.00415, load_admit = 0.600, cache_tp = 5679.818, core_tp = 3823.878
  ... #149163 @ 62524.796 ms: miss_ratio = 0.00412, load_admit = 0.640, cache_tp = 5878.566, core_tp = 3647.110
  ... #150371 @ 63024.859 ms: miss_ratio = 0.00408, load_admit = 0.660, cache_tp = 6071.235, core_tp = 3583.548
  ... #151557 @ 63524.907 ms: miss_ratio = 0.00405, load_admit = 0.660, cache_tp = 6079.416, core_tp = 3415.672
  ... #152742 @ 64025.268 ms: miss_ratio = 0.00402, load_admit = 0.650, cache_tp = 6211.515, core_tp = 3261.645
  ... #153920 @ 64525.388 ms: miss_ratio = 0.00399, load_admit = 0.640, cache_tp = 5982.564, core_tp = 3439.175
  ... #155110 @ 65025.432 ms: miss_ratio = 0.00396, load_admit = 0.640, cache_tp = 5959.476, core_tp = 3551.687
  ... #156296 @ 65525.822 ms: miss_ratio = 0.00393, load_admit = 0.630, cache_tp = 6027.299, core_tp = 3461.300
  ... #157497 @ 66026.020 ms: miss_ratio = 0.00390, load_admit = 0.610, cache_tp = 6285.511, core_tp = 3318.686
  ... #158682 @ 66526.168 ms: miss_ratio = 0.00387, load_admit = 0.630, cache_tp = 5966.234, core_tp = 3510.961
  ... #159870 @ 67026.361 ms: miss_ratio = 0.00384, load_admit = 0.640, cache_tp = 5805.759, core_tp = 3694.574
  ... #161058 @ 67526.399 ms: miss_ratio = 0.00381, load_admit = 0.640, cache_tp = 6095.537, core_tp = 3407.741
  ... #162252 @ 68026.791 ms: miss_ratio = 0.00378, load_admit = 0.610, cache_tp = 5819.438, core_tp = 3717.086
  ... #163437 @ 68527.120 ms: miss_ratio = 0.00376, load_admit = 0.630, cache_tp = 5548.349, core_tp = 3925.417
  ... #164626 @ 69027.327 ms: miss_ratio = 0.00373, load_admit = 0.620, cache_tp = 5941.540, core_tp = 3574.520
  ... #165811 @ 69527.789 ms: miss_ratio = 0.00370, load_admit = 0.610, cache_tp = 5786.653, core_tp = 3676.603
  ... #166992 @ 70028.073 ms: miss_ratio = 0.00368, load_admit = 0.630, cache_tp = 5964.612, core_tp = 3486.020
  ... #168188 @ 70528.406 ms: miss_ratio = 0.00365, load_admit = 0.620, cache_tp = 5924.055, core_tp = 3637.577
  ... #169375 @ 71028.593 ms: miss_ratio = 0.00363, load_admit = 0.640, cache_tp = 5933.781, core_tp = 3558.669
  ... #170571 @ 71529.007 ms: miss_ratio = 0.00360, load_admit = 0.630, cache_tp = 6282.798, core_tp = 3269.293
  ... #171758 @ 72029.069 ms: miss_ratio = 0.00357, load_admit = 0.650, cache_tp = 5927.265, core_tp = 3575.557
  ... #172945 @ 72529.146 ms: miss_ratio = 0.00355, load_admit = 0.620, cache_tp = 6055.068, core_tp = 3431.472
  ... #174135 @ 73029.376 ms: miss_ratio = 0.00353, load_admit = 0.640, cache_tp = 6157.168, core_tp = 3358.455
  ... #175326 @ 73529.726 ms: miss_ratio = 0.00350, load_admit = 0.650, cache_tp = 5971.820, core_tp = 3549.515
  ... #176512 @ 74029.741 ms: miss_ratio = 0.00348, load_admit = 0.650, cache_tp = 6111.817, core_tp = 3375.899
  ... #177694 @ 74529.934 ms: miss_ratio = 0.00346, load_admit = 0.660, cache_tp = 5965.697, core_tp = 3486.654
  ... #178881 @ 75030.028 ms: miss_ratio = 0.00343, load_admit = 0.660, cache_tp = 6254.824, core_tp = 3247.389
  ... #180071 @ 75530.335 ms: miss_ratio = 0.00341, load_admit = 0.630, cache_tp = 6276.146, core_tp = 3230.017
  ... #181246 @ 76030.637 ms: miss_ratio = 0.00339, load_admit = 0.650, cache_tp = 6052.344, core_tp = 3349.977
  ... #182440 @ 76530.649 ms: miss_ratio = 0.00337, load_admit = 0.620, cache_tp = 6223.851, core_tp = 3327.920
  ... #183625 @ 77030.977 ms: miss_ratio = 0.00334, load_admit = 0.640, cache_tp = 5892.135, core_tp = 3581.650
  ... #184810 @ 77530.978 ms: miss_ratio = 0.00332, load_admit = 0.610, cache_tp = 6023.988, core_tp = 3455.993
  ... #185994 @ 78031.354 ms: miss_ratio = 0.00330, load_admit = 0.630, cache_tp = 5747.678, core_tp = 3717.205
  ... #187183 @ 78531.378 ms: miss_ratio = 0.00328, load_admit = 0.640, cache_tp = 5791.722, core_tp = 3719.821
  ... #188366 @ 79031.480 ms: miss_ratio = 0.00326, load_admit = 0.640, cache_tp = 6182.739, core_tp = 3271.333
  ... #189555 @ 79531.584 ms: miss_ratio = 0.00324, load_admit = 0.610, cache_tp = 6310.687, core_tp = 3207.333
  ... #190736 @ 80031.712 ms: miss_ratio = 0.00322, load_admit = 0.630, cache_tp = 5846.503, core_tp = 3599.079
  ... #191924 @ 80532.044 ms: miss_ratio = 0.00320, load_admit = 0.620, cache_tp = 5844.120, core_tp = 3653.574
  ... #193103 @ 81032.131 ms: miss_ratio = 0.00318, load_admit = 0.610, cache_tp = 5942.966, core_tp = 3479.395
  ... #194296 @ 81532.347 ms: miss_ratio = 0.00316, load_admit = 0.610, cache_tp = 5693.540, core_tp = 3854.335
  ... #195482 @ 82032.671 ms: miss_ratio = 0.00314, load_admit = 0.600, cache_tp = 5964.135, core_tp = 3517.721
  ... #196665 @ 82533.078 ms: miss_ratio = 0.00312, load_admit = 0.620, cache_tp = 5739.328, core_tp = 3716.974
  ... #197860 @ 83033.189 ms: miss_ratio = 0.00310, load_admit = 0.610, cache_tp = 5958.677, core_tp = 3591.203
  ... #199040 @ 83533.342 ms: miss_ratio = 0.00308, load_admit = 0.630, cache_tp = 5982.169, core_tp = 3462.940
  ... #200229 @ 84033.528 ms: miss_ratio = 0.00307, load_admit = 0.640, cache_tp = 6109.727, core_tp = 3398.736
  ... #201414 @ 84533.749 ms: miss_ratio = 0.00305, load_admit = 0.640, cache_tp = 6157.278, core_tp = 3318.533
  ... #202594 @ 85033.919 ms: miss_ratio = 0.00303, load_admit = 0.630, cache_tp = 6109.923, core_tp = 3326.869
  ... #203780 @ 85533.937 ms: miss_ratio = 0.00301, load_admit = 0.650, cache_tp = 6063.782, core_tp = 3423.877
  ... #204969 @ 86034.103 ms: miss_ratio = 0.00300, load_admit = 0.640, cache_tp = 6197.942, core_tp = 3310.901
  ... #206164 @ 86534.445 ms: miss_ratio = 0.00298, load_admit = 0.630, cache_tp = 6011.888, core_tp = 3533.583
  ... #207355 @ 87034.690 ms: miss_ratio = 0.00296, load_admit = 0.650, cache_tp = 6124.999, core_tp = 3406.331
  ... #208545 @ 87534.978 ms: miss_ratio = 0.00294, load_admit = 0.660, cache_tp = 6060.509, core_tp = 3454.010
  ... #209738 @ 88035.064 ms: miss_ratio = 0.00293, load_admit = 0.660, cache_tp = 6094.952, core_tp = 3447.407
  ... #210931 @ 88535.121 ms: miss_ratio = 0.00291, load_admit = 0.650, cache_tp = 6231.290, core_tp = 3311.622
  ... #212116 @ 89035.237 ms: miss_ratio = 0.00289, load_admit = 0.640, cache_tp = 6270.545, core_tp = 3207.256
  ... #213304 @ 89535.559 ms: miss_ratio = 0.00288, load_admit = 0.660, cache_tp = 6068.092, core_tp = 3421.796
  ... #214490 @ 90035.821 ms: miss_ratio = 0.00286, load_admit = 0.650, cache_tp = 6300.698, core_tp = 3182.332
  ... #215688 @ 90536.305 ms: miss_ratio = 0.00285, load_admit = 0.640, cache_tp = 6273.927, core_tp = 3316.789
  ... #216876 @ 91036.635 ms: miss_ratio = 0.00283, load_admit = 0.660, cache_tp = 6075.990, core_tp = 3413.747
  ... #218071 @ 91536.795 ms: miss_ratio = 0.00282, load_admit = 0.650, cache_tp = 6589.891, core_tp = 2967.051
  ... #219259 @ 92037.084 ms: miss_ratio = 0.00280, load_admit = 0.670, cache_tp = 6172.432, core_tp = 3326.078
  ... #220442 @ 92537.493 ms: miss_ratio = 0.00279, load_admit = 0.660, cache_tp = 6242.893, core_tp = 3205.378
  ... #221638 @ 93037.844 ms: miss_ratio = 0.00277, load_admit = 0.650, cache_tp = 6307.572, core_tp = 3261.710
  ... #222834 @ 93538.299 ms: miss_ratio = 0.00276, load_admit = 0.670, cache_tp = 6226.334, core_tp = 3332.967
  ... #224016 @ 94038.464 ms: miss_ratio = 0.00274, load_admit = 0.660, cache_tp = 6533.844, core_tp = 2919.037
