
Progress:

  ... #1521 @ 500.169 ms: miss_ratio = 0.51619, load_admit = 1.000, cache_tp = 695.765, core_tp = 4590.448
  ... #44477 @ 15005.408 ms: miss_ratio = 0.01380, load_admit = 1.000, cache_tp = 6293.797, core_tp = 0.000
  ... #46013 @ 15505.583 ms: miss_ratio = 0.01334, load_admit = 1.000, cache_tp = 8021.193, core_tp = 0.000
  ... #47555 @ 16005.761 ms: miss_ratio = 0.01291, load_admit = 1.000, cache_tp = 8077.125, core_tp = 0.000
  ... #49100 @ 16505.955 ms: miss_ratio = 0.01251, load_admit = 1.000, cache_tp = 8052.875, core_tp = 0.000
  ... #50645 @ 17006.209 ms: miss_ratio = 0.01212, load_admit = 1.000, cache_tp = 8059.906, core_tp = 0.000
  ... #52193 @ 17506.236 ms: miss_ratio = 0.01176, load_admit = 1.000, cache_tp = 8087.563, core_tp = 0.000
  ... #53736 @ 18006.485 ms: miss_ratio = 0.01143, load_admit = 1.000, cache_tp = 8035.998, core_tp = 0.000
  ... #55246 @ 18506.547 ms: miss_ratio = 0.01111, load_admit = 1.000, cache_tp = 6175.234, core_tp = 0.000
  ... #56741 @ 19006.756 ms: miss_ratio = 0.01082, load_admit = 1.000, cache_tp = 2215.074, core_tp = 0.000
  ... #58281 @ 19507.043 ms: miss_ratio = 0.01054, load_admit = 1.000, cache_tp = 1838.944, core_tp = 0.000
  ... #59817 @ 20007.078 ms: miss_ratio = 0.01026, load_admit = 1.000, cache_tp = 1967.862, core_tp = 0.000
  ... #61351 @ 20507.198 ms: miss_ratio = 0.01001, load_admit = 1.000, cache_tp = 2439.415, core_tp = 0.000
  ... #62878 @ 21007.462 ms: miss_ratio = 0.00976, load_admit = 1.000, cache_tp = 2198.839, core_tp = 0.000
  ... #64388 @ 21507.711 ms: miss_ratio = 0.00954, load_admit = 1.000, cache_tp = 2086.961, core_tp = 0.000
  ... #65932 @ 22007.721 ms: miss_ratio = 0.00931, load_admit = 1.000, cache_tp = 1967.961, core_tp = 0.000
  ... #67508 @ 22507.916 ms: miss_ratio = 0.00910, load_admit = 1.000, cache_tp = 2678.955, core_tp = 0.000
  ... #69142 @ 23008.068 ms: miss_ratio = 0.00888, load_admit = 1.000, cache_tp = 2735.169, core_tp = 0.000
  ... #70800 @ 23508.390 ms: miss_ratio = 0.00867, load_admit = 1.000, cache_tp = 3133.982, core_tp = 0.000
  ... #72367 @ 24008.446 ms: miss_ratio = 0.00848, load_admit = 1.000, cache_tp = 2703.697, core_tp = 0.000
  ... #74000 @ 24508.735 ms: miss_ratio = 0.00830, load_admit = 1.000, cache_tp = 3094.212, core_tp = 0.000
  ... #75695 @ 25008.855 ms: miss_ratio = 0.00811, load_admit = 1.000, cache_tp = 3391.186, core_tp = 0.000
  ... #77336 @ 25509.060 ms: miss_ratio = 0.00794, load_admit = 1.000, cache_tp = 2822.843, core_tp = 0.000
  ... #78897 @ 26009.219 ms: miss_ratio = 0.00778, load_admit = 1.000, cache_tp = 3894.761, core_tp = 0.000
  ... #80430 @ 26509.560 ms: miss_ratio = 0.00763, load_admit = 1.000, cache_tp = 4476.947, core_tp = 0.000
  ... #82022 @ 27009.822 ms: miss_ratio = 0.00749, load_admit = 1.000, cache_tp = 7156.250, core_tp = 0.000
  ... #83735 @ 27509.875 ms: miss_ratio = 0.00733, load_admit = 1.000, cache_tp = 9247.020, core_tp = 0.000
  ... #85394 @ 28009.933 ms: miss_ratio = 0.00719, load_admit = 1.000, cache_tp = 8806.978, core_tp = 0.000
  ... #87028 @ 28510.023 ms: miss_ratio = 0.00706, load_admit = 1.000, cache_tp = 8638.445, core_tp = 0.000
  ... #88743 @ 29010.079 ms: miss_ratio = 0.00692, load_admit = 1.000, cache_tp = 9278.961, core_tp = 0.000
  ... #90539 @ 29510.189 ms: miss_ratio = 0.00678, load_admit = 1.000, cache_tp = 9965.808, core_tp = 0.000
  ... #92382 @ 30010.346 ms: miss_ratio = 0.00665, load_admit = 1.000, cache_tp = 10348.750, core_tp = 0.000
  ... #94217 @ 30510.618 ms: miss_ratio = 0.00652, load_admit = 1.000, cache_tp = 10274.411, core_tp = 0.000
  ... #96045 @ 31010.758 ms: miss_ratio = 0.00639, load_admit = 1.000, cache_tp = 10253.129, core_tp = 0.000
  ... #97764 @ 31510.929 ms: miss_ratio = 0.00628, load_admit = 1.000, cache_tp = 9460.764, core_tp = 0.000
  ... #99375 @ 32011.227 ms: miss_ratio = 0.00618, load_admit = 1.000, cache_tp = 8434.973, core_tp = 0.000
  ... #100965 @ 32511.369 ms: miss_ratio = 0.00608, load_admit = 1.000, cache_tp = 8333.633, core_tp = 0.000
  ... #102581 @ 33011.389 ms: miss_ratio = 0.00599, load_admit = 1.000, cache_tp = 8551.658, core_tp = 0.000
  ... #104198 @ 33511.670 ms: miss_ratio = 0.00589, load_admit = 1.000, cache_tp = 8523.210, core_tp = 0.000
  ... #105784 @ 34011.881 ms: miss_ratio = 0.00580, load_admit = 1.000, cache_tp = 8340.480, core_tp = 0.000
  ... #107399 @ 34511.996 ms: miss_ratio = 0.00572, load_admit = 1.000, cache_tp = 8582.026, core_tp = 0.000
  ... #109013 @ 35012.152 ms: miss_ratio = 0.00563, load_admit = 1.000, cache_tp = 8501.348, core_tp = 0.000
  ... #110601 @ 35512.172 ms: miss_ratio = 0.00555, load_admit = 1.000, cache_tp = 8407.664, core_tp = 0.000
  ... #112214 @ 36012.439 ms: miss_ratio = 0.00547, load_admit = 1.000, cache_tp = 8483.470, core_tp = 0.000
  ... #113814 @ 36512.654 ms: miss_ratio = 0.00539, load_admit = 1.000, cache_tp = 8428.376, core_tp = 0.000
  ... #115457 @ 37012.911 ms: miss_ratio = 0.00532, load_admit = 1.000, cache_tp = 8659.549, core_tp = 0.000
  ... #117115 @ 37513.227 ms: miss_ratio = 0.00524, load_admit = 1.000, cache_tp = 8714.492, core_tp = 0.000
  ... #118696 @ 38013.367 ms: miss_ratio = 0.00517, load_admit = 1.000, cache_tp = 8301.676, core_tp = 0.000
  ... #120322 @ 38513.520 ms: miss_ratio = 0.00510, load_admit = 1.000, cache_tp = 8565.379, core_tp = 0.000
  ... #121928 @ 39013.579 ms: miss_ratio = 0.00504, load_admit = 1.000, cache_tp = 8359.014, core_tp = 0.000
  ... #123622 @ 39513.713 ms: miss_ratio = 0.00497, load_admit = 1.000, cache_tp = 9261.518, core_tp = 0.000
  ... #125244 @ 40013.801 ms: miss_ratio = 0.00490, load_admit = 1.000, cache_tp = 8502.504, core_tp = 0.000
  ... #126889 @ 40514.014 ms: miss_ratio = 0.00484, load_admit = 1.000, cache_tp = 8708.290, core_tp = 0.000
  ... #128523 @ 41014.019 ms: miss_ratio = 0.00478, load_admit = 1.000, cache_tp = 8695.913, core_tp = 0.000
  ... #130124 @ 41514.200 ms: miss_ratio = 0.00472, load_admit = 1.000, cache_tp = 8388.963, core_tp = 0.000
  ... #131794 @ 42014.481 ms: miss_ratio = 0.00466, load_admit = 1.000, cache_tp = 8867.017, core_tp = 0.000
  ... #133409 @ 42514.620 ms: miss_ratio = 0.00460, load_admit = 1.000, cache_tp = 8541.625, core_tp = 0.000
  ... #134980 @ 43014.721 ms: miss_ratio = 0.00455, load_admit = 1.000, cache_tp = 8270.329, core_tp = 0.000
  ... #136613 @ 43514.970 ms: miss_ratio = 0.00449, load_admit = 1.000, cache_tp = 8683.676, core_tp = 0.000
  ... #138207 @ 44015.179 ms: miss_ratio = 0.00444, load_admit = 1.000, cache_tp = 8356.507, core_tp = 0.000
  ... #139820 @ 44515.182 ms: miss_ratio = 0.00439, load_admit = 1.000, cache_tp = 8551.949, core_tp = 0.000
  ... #141424 @ 45015.538 ms: miss_ratio = 0.00434, load_admit = 1.000, cache_tp = 8449.984, core_tp = 0.000
  ... #143050 @ 45515.691 ms: miss_ratio = 0.00429, load_admit = 1.000, cache_tp = 8549.384, core_tp = 0.000
  ... #144663 @ 46015.843 ms: miss_ratio = 0.00424, load_admit = 1.000, cache_tp = 8573.394, core_tp = 0.000
  ... #146259 @ 46515.922 ms: miss_ratio = 0.00420, load_admit = 1.000, cache_tp = 8366.678, core_tp = 0.000
  ... #147835 @ 47016.012 ms: miss_ratio = 0.00415, load_admit = 1.000, cache_tp = 8238.517, core_tp = 0.000
  ... #149499 @ 47516.075 ms: miss_ratio = 0.00411, load_admit = 1.000, cache_tp = 9006.865, core_tp = 0.000
  ... #151102 @ 48016.373 ms: miss_ratio = 0.00406, load_admit = 1.000, cache_tp = 8418.982, core_tp = 0.000
  ... #152786 @ 48516.639 ms: miss_ratio = 0.00402, load_admit = 1.000, cache_tp = 9155.129, core_tp = 0.000
  ... #154366 @ 49016.832 ms: miss_ratio = 0.00398, load_admit = 1.000, cache_tp = 8308.793, core_tp = 0.000
  ... #155959 @ 49517.188 ms: miss_ratio = 0.00394, load_admit = 1.000, cache_tp = 8402.018, core_tp = 0.000
  ... #157551 @ 50017.461 ms: miss_ratio = 0.00390, load_admit = 1.000, cache_tp = 8331.451, core_tp = 0.000
  ... #159112 @ 50517.765 ms: miss_ratio = 0.00386, load_admit = 1.000, cache_tp = 8179.027, core_tp = 0.000
  ... #160692 @ 51017.935 ms: miss_ratio = 0.00382, load_admit = 1.000, cache_tp = 8269.188, core_tp = 0.000
  ... #162286 @ 51518.205 ms: miss_ratio = 0.00378, load_admit = 1.000, cache_tp = 8371.479, core_tp = 0.000
  ... #163875 @ 52018.410 ms: miss_ratio = 0.00375, load_admit = 1.000, cache_tp = 8348.577, core_tp = 0.000
  ... #165448 @ 52518.617 ms: miss_ratio = 0.00371, load_admit = 1.000, cache_tp = 8196.607, core_tp = 0.000
  ... #167030 @ 53018.761 ms: miss_ratio = 0.00368, load_admit = 1.000, cache_tp = 8365.591, core_tp = 0.000
  ... #168607 @ 53518.837 ms: miss_ratio = 0.00364, load_admit = 1.000, cache_tp = 8262.744, core_tp = 0.000
  ... #170176 @ 54019.070 ms: miss_ratio = 0.00361, load_admit = 1.000, cache_tp = 8212.173, core_tp = 0.000
  ... #171758 @ 54519.375 ms: miss_ratio = 0.00357, load_admit = 1.000, cache_tp = 8306.933, core_tp = 0.000
  ... #173340 @ 55019.390 ms: miss_ratio = 0.00354, load_admit = 1.000, cache_tp = 8295.751, core_tp = 0.000
  ... #174923 @ 55519.545 ms: miss_ratio = 0.00351, load_admit = 1.000, cache_tp = 8317.422, core_tp = 0.000
  ... #176506 @ 56019.579 ms: miss_ratio = 0.00348, load_admit = 1.000, cache_tp = 8367.431, core_tp = 0.000
  ... #178150 @ 56519.676 ms: miss_ratio = 0.00345, load_admit = 1.000, cache_tp = 8830.287, core_tp = 0.000
  ... #179719 @ 57019.804 ms: miss_ratio = 0.00342, load_admit = 1.000, cache_tp = 8205.899, core_tp = 0.000
  ... #181286 @ 57519.929 ms: miss_ratio = 0.00339, load_admit = 1.000, cache_tp = 8173.957, core_tp = 0.000
  ... #182844 @ 58020.286 ms: miss_ratio = 0.00336, load_admit = 1.000, cache_tp = 8178.161, core_tp = 0.000
  ... #184403 @ 58520.310 ms: miss_ratio = 0.00333, load_admit = 1.000, cache_tp = 8183.607, core_tp = 0.000
  ... #185969 @ 59020.517 ms: miss_ratio = 0.00330, load_admit = 1.000, cache_tp = 8196.607, core_tp = 0.000
  ... #187537 @ 59520.793 ms: miss_ratio = 0.00327, load_admit = 1.000, cache_tp = 8219.463, core_tp = 0.000
  ... #189146 @ 60020.969 ms: miss_ratio = 0.00325, load_admit = 1.000, cache_tp = 8453.025, core_tp = 0.000
  ... #190715 @ 60521.201 ms: miss_ratio = 0.00322, load_admit = 1.000, cache_tp = 8220.186, core_tp = 0.000
  ... #192277 @ 61021.507 ms: miss_ratio = 0.00319, load_admit = 1.000, cache_tp = 8147.014, core_tp = 0.000
  ... #193836 @ 61521.632 ms: miss_ratio = 0.00317, load_admit = 1.000, cache_tp = 8173.957, core_tp = 0.000
  ... #195397 @ 62021.756 ms: miss_ratio = 0.00314, load_admit = 1.000, cache_tp = 8141.981, core_tp = 0.000
  ... #196961 @ 62521.834 ms: miss_ratio = 0.00312, load_admit = 1.000, cache_tp = 8158.727, core_tp = 0.000
  ... #198527 @ 63022.129 ms: miss_ratio = 0.00309, load_admit = 1.000, cache_tp = 8179.174, core_tp = 0.000
  ... #200078 @ 63522.474 ms: miss_ratio = 0.00307, load_admit = 1.000, cache_tp = 8098.412, core_tp = 0.000
  ... #201629 @ 64022.568 ms: miss_ratio = 0.00305, load_admit = 1.000, cache_tp = 8110.475, core_tp = 0.000
  ... #203183 @ 64522.791 ms: miss_ratio = 0.00302, load_admit = 1.000, cache_tp = 8124.377, core_tp = 0.000
  ... #204727 @ 65022.865 ms: miss_ratio = 0.00300, load_admit = 1.000, cache_tp = 8070.806, core_tp = 0.000
  ... #206365 @ 65523.135 ms: miss_ratio = 0.00298, load_admit = 1.000, cache_tp = 8859.216, core_tp = 0.000
  ... #207917 @ 66023.671 ms: miss_ratio = 0.00295, load_admit = 1.000, cache_tp = 8159.253, core_tp = 0.000
  ... #209473 @ 66523.803 ms: miss_ratio = 0.00293, load_admit = 1.000, cache_tp = 8141.851, core_tp = 0.000
  ... #211036 @ 67023.831 ms: miss_ratio = 0.00291, load_admit = 1.000, cache_tp = 8119.545, core_tp = 0.000
  ... #212597 @ 67523.867 ms: miss_ratio = 0.00289, load_admit = 1.000, cache_tp = 8167.412, core_tp = 0.000
  ... #214147 @ 68023.912 ms: miss_ratio = 0.00287, load_admit = 1.000, cache_tp = 8143.267, core_tp = 0.000
  ... #215742 @ 68524.159 ms: miss_ratio = 0.00285, load_admit = 1.000, cache_tp = 8403.848, core_tp = 0.000
  ... #217298 @ 69024.220 ms: miss_ratio = 0.00283, load_admit = 1.000, cache_tp = 8119.009, core_tp = 0.000
  ... #218858 @ 69524.491 ms: miss_ratio = 0.00281, load_admit = 1.000, cache_tp = 8115.601, core_tp = 0.000
  ... #220408 @ 70024.583 ms: miss_ratio = 0.00279, load_admit = 1.000, cache_tp = 8118.506, core_tp = 0.000
  ... #221958 @ 70524.794 ms: miss_ratio = 0.00277, load_admit = 1.000, cache_tp = 8108.578, core_tp = 0.000
  ... #223563 @ 71024.870 ms: miss_ratio = 0.00275, load_admit = 1.000, cache_tp = 8398.723, core_tp = 0.000
  ... #225196 @ 71525.183 ms: miss_ratio = 0.00273, load_admit = 1.000, cache_tp = 8610.610, core_tp = 0.000
  ... #226797 @ 72025.373 ms: miss_ratio = 0.00271, load_admit = 1.000, cache_tp = 8380.815, core_tp = 0.000
  ... #228423 @ 72525.414 ms: miss_ratio = 0.00269, load_admit = 1.000, cache_tp = 8623.293, core_tp = 0.000
  ... #230012 @ 73025.497 ms: miss_ratio = 0.00267, load_admit = 1.000, cache_tp = 8326.618, core_tp = 0.000
  ... #231595 @ 73525.758 ms: miss_ratio = 0.00265, load_admit = 1.000, cache_tp = 8307.663, core_tp = 0.000
  ... #233179 @ 74026.019 ms: miss_ratio = 0.00263, load_admit = 1.000, cache_tp = 8251.693, core_tp = 0.000
  ... #234838 @ 74526.221 ms: miss_ratio = 0.00261, load_admit = 1.000, cache_tp = 8860.420, core_tp = 0.000
  ... #236496 @ 75026.335 ms: miss_ratio = 0.00260, load_admit = 1.000, cache_tp = 8781.998, core_tp = 0.000
  ... #238172 @ 75526.391 ms: miss_ratio = 0.00258, load_admit = 1.000, cache_tp = 8919.001, core_tp = 0.000
  ... #239788 @ 76026.461 ms: miss_ratio = 0.00256, load_admit = 1.000, cache_tp = 8518.807, core_tp = 0.000
  ... #241415 @ 76526.757 ms: miss_ratio = 0.00254, load_admit = 1.000, cache_tp = 8562.931, core_tp = 0.000
  ... #243009 @ 77026.856 ms: miss_ratio = 0.00253, load_admit = 1.000, cache_tp = 8454.326, core_tp = 0.000
  ... #244618 @ 77527.025 ms: miss_ratio = 0.00251, load_admit = 1.000, cache_tp = 8453.143, core_tp = 0.000
  ... #246204 @ 78027.150 ms: miss_ratio = 0.00249, load_admit = 1.000, cache_tp = 8341.915, core_tp = 0.000
  ... #247779 @ 78527.356 ms: miss_ratio = 0.00248, load_admit = 1.000, cache_tp = 8260.597, core_tp = 0.000
  ... #249367 @ 79027.494 ms: miss_ratio = 0.00246, load_admit = 1.000, cache_tp = 8341.698, core_tp = 0.000
  ... #251001 @ 79527.738 ms: miss_ratio = 0.00245, load_admit = 1.000, cache_tp = 8619.794, core_tp = 0.000
  ... #252665 @ 80027.792 ms: miss_ratio = 0.00243, load_admit = 1.000, cache_tp = 8847.045, core_tp = 0.000
  ... #254283 @ 80528.016 ms: miss_ratio = 0.00241, load_admit = 1.000, cache_tp = 8532.178, core_tp = 0.000
  ... #255968 @ 81028.194 ms: miss_ratio = 0.00240, load_admit = 1.000, cache_tp = 9044.780, core_tp = 0.000
  ... #257742 @ 81528.236 ms: miss_ratio = 0.00238, load_admit = 1.000, cache_tp = 9767.180, core_tp = 0.000
  ... #259440 @ 82028.556 ms: miss_ratio = 0.00237, load_admit = 1.000, cache_tp = 9050.208, core_tp = 0.000
  ... #261161 @ 82528.602 ms: miss_ratio = 0.00235, load_admit = 1.000, cache_tp = 9271.147, core_tp = 0.000
  ... #262797 @ 83028.957 ms: miss_ratio = 0.00234, load_admit = 1.000, cache_tp = 8617.881, core_tp = 0.000
  ... #264428 @ 83529.217 ms: miss_ratio = 0.00232, load_admit = 1.000, cache_tp = 8579.539, core_tp = 0.000
  ... #266056 @ 84029.368 ms: miss_ratio = 0.00231, load_admit = 1.000, cache_tp = 8645.389, core_tp = 0.000
  ... #267693 @ 84529.512 ms: miss_ratio = 0.00229, load_admit = 1.000, cache_tp = 8573.531, core_tp = 0.000
  ... #269281 @ 85029.655 ms: miss_ratio = 0.00228, load_admit = 1.000, cache_tp = 8325.619, core_tp = 0.000
  ... #270881 @ 85529.751 ms: miss_ratio = 0.00227, load_admit = 1.000, cache_tp = 8374.392, core_tp = 0.000
  ... #272465 @ 86029.810 ms: miss_ratio = 0.00225, load_admit = 1.000, cache_tp = 8271.024, core_tp = 0.000
  ... #274055 @ 86529.954 ms: miss_ratio = 0.00224, load_admit = 1.000, cache_tp = 8333.600, core_tp = 0.000
  ... #275657 @ 87030.054 ms: miss_ratio = 0.00223, load_admit = 1.000, cache_tp = 8438.312, core_tp = 0.000
  ... #277232 @ 87530.136 ms: miss_ratio = 0.00221, load_admit = 1.000, cache_tp = 8262.645, core_tp = 0.000
  ... #278816 @ 88030.216 ms: miss_ratio = 0.00220, load_admit = 1.000, cache_tp = 8302.672, core_tp = 0.000
  ... #280383 @ 88530.285 ms: miss_ratio = 0.00219, load_admit = 1.000, cache_tp = 8254.861, core_tp = 0.000
  ... #281979 @ 89030.344 ms: miss_ratio = 0.00218, load_admit = 1.000, cache_tp = 8343.016, core_tp = 0.000
  ... #283575 @ 89530.460 ms: miss_ratio = 0.00217, load_admit = 1.000, cache_tp = 8430.044, core_tp = 0.000
  ... #285209 @ 90030.689 ms: miss_ratio = 0.00215, load_admit = 1.000, cache_tp = 8692.019, core_tp = 0.000
  ... #286810 @ 90530.815 ms: miss_ratio = 0.00214, load_admit = 1.000, cache_tp = 8357.894, core_tp = 0.000
  ... #288466 @ 91030.872 ms: miss_ratio = 0.00213, load_admit = 1.000, cache_tp = 8806.996, core_tp = 0.000
  ... #290107 @ 91530.929 ms: miss_ratio = 0.00212, load_admit = 1.000, cache_tp = 8655.013, core_tp = 0.000
  ... #291692 @ 92031.052 ms: miss_ratio = 0.00210, load_admit = 1.000, cache_tp = 8325.952, core_tp = 0.000
  ... #293254 @ 92531.194 ms: miss_ratio = 0.00209, load_admit = 1.000, cache_tp = 8165.681, core_tp = 0.000
  ... #294814 @ 93031.500 ms: miss_ratio = 0.00208, load_admit = 1.000, cache_tp = 8178.994, core_tp = 0.000
  ... #296387 @ 93531.594 ms: miss_ratio = 0.00207, load_admit = 1.000, cache_tp = 8214.456, core_tp = 0.000
  ... #297954 @ 94031.643 ms: miss_ratio = 0.00206, load_admit = 1.000, cache_tp = 8191.197, core_tp = 0.000
  ... #299527 @ 94531.732 ms: miss_ratio = 0.00205, load_admit = 1.000, cache_tp = 8214.538, core_tp = 0.000
  ... #301089 @ 95031.997 ms: miss_ratio = 0.00204, load_admit = 1.000, cache_tp = 8171.669, core_tp = 0.000
  ... #302655 @ 95532.018 ms: miss_ratio = 0.00203, load_admit = 1.000, cache_tp = 8191.656, core_tp = 0.000
  ... #304287 @ 96032.044 ms: miss_ratio = 0.00202, load_admit = 1.000, cache_tp = 8647.550, core_tp = 0.000
  ... #305886 @ 96532.185 ms: miss_ratio = 0.00201, load_admit = 1.000, cache_tp = 8445.618, core_tp = 0.000
  ... #307481 @ 97032.234 ms: miss_ratio = 0.00200, load_admit = 1.000, cache_tp = 8335.183, core_tp = 0.000
  ... #309057 @ 97532.415 ms: miss_ratio = 0.00199, load_admit = 1.000, cache_tp = 8300.995, core_tp = 0.000
  ... #310647 @ 98032.523 ms: miss_ratio = 0.00198, load_admit = 1.000, cache_tp = 8342.198, core_tp = 0.000
  ... #312206 @ 98532.530 ms: miss_ratio = 0.00197, load_admit = 1.000, cache_tp = 8215.885, core_tp = 0.000
  ... #313868 @ 99032.570 ms: miss_ratio = 0.00196, load_admit = 1.000, cache_tp = 8999.280, core_tp = 0.000
  ... #315451 @ 99532.743 ms: miss_ratio = 0.00195, load_admit = 1.000, cache_tp = 8341.114, core_tp = 0.000
  ... #317036 @ 100032.808 ms: miss_ratio = 0.00194, load_admit = 1.000, cache_tp = 8302.921, core_tp = 0.000
  ... #318638 @ 100532.841 ms: miss_ratio = 0.00193, load_admit = 1.000, cache_tp = 8407.445, core_tp = 0.000
  ... #320251 @ 101033.184 ms: miss_ratio = 0.00192, load_admit = 1.000, cache_tp = 8522.154, core_tp = 0.000
  ... #321815 @ 101533.260 ms: miss_ratio = 0.00191, load_admit = 1.000, cache_tp = 8238.748, core_tp = 0.000
  ... #323387 @ 102033.365 ms: miss_ratio = 0.00190, load_admit = 1.000, cache_tp = 8190.280, core_tp = 0.000
  ... #324959 @ 102533.660 ms: miss_ratio = 0.00189, load_admit = 1.000, cache_tp = 8195.165, core_tp = 0.000
  ... #326529 @ 103033.863 ms: miss_ratio = 0.00188, load_admit = 1.000, cache_tp = 8204.669, core_tp = 0.000
  ... #328095 @ 103534.137 ms: miss_ratio = 0.00187, load_admit = 1.000, cache_tp = 8179.518, core_tp = 0.000
  ... #329657 @ 104034.231 ms: miss_ratio = 0.00186, load_admit = 1.000, cache_tp = 8158.466, core_tp = 0.000
  ... #331222 @ 104534.502 ms: miss_ratio = 0.00185, load_admit = 1.000, cache_tp = 8155.580, core_tp = 0.000
  ... #332784 @ 105034.571 ms: miss_ratio = 0.00185, load_admit = 1.000, cache_tp = 8174.872, core_tp = 0.000
  ... #334346 @ 105534.654 ms: miss_ratio = 0.00184, load_admit = 1.000, cache_tp = 8174.643, core_tp = 0.000
  ... #335920 @ 106034.702 ms: miss_ratio = 0.00183, load_admit = 1.000, cache_tp = 8311.202, core_tp = 0.000
  ... #337503 @ 106534.874 ms: miss_ratio = 0.00182, load_admit = 1.000, cache_tp = 8309.142, core_tp = 0.000
  ... #339067 @ 107034.878 ms: miss_ratio = 0.00181, load_admit = 1.000, cache_tp = 8175.935, core_tp = 0.000
  ... #340644 @ 107535.066 ms: miss_ratio = 0.00180, load_admit = 1.000, cache_tp = 8212.912, core_tp = 0.000
  ... #342210 @ 108035.115 ms: miss_ratio = 0.00179, load_admit = 1.000, cache_tp = 8207.196, core_tp = 0.000
  ... #343774 @ 108535.230 ms: miss_ratio = 0.00179, load_admit = 1.000, cache_tp = 8182.118, core_tp = 0.000
  ... #345344 @ 109035.338 ms: miss_ratio = 0.00178, load_admit = 1.000, cache_tp = 8230.222, core_tp = 0.000
  ... #346908 @ 109535.494 ms: miss_ratio = 0.00177, load_admit = 1.000, cache_tp = 8165.452, core_tp = 0.000
  ... #348568 @ 110035.514 ms: miss_ratio = 0.00176, load_admit = 1.000, cache_tp = 8927.643, core_tp = 0.000
  ... #350131 @ 110535.865 ms: miss_ratio = 0.00175, load_admit = 1.000, cache_tp = 8194.248, core_tp = 0.000
